Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
Afghanistan-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Afghanistan,SAR,South Asia Region,Low income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The National Environmental Protection Agency Climate Change Directorate has in its mandate the task of coordinating in all aspects of climate change between line ministries, private sectors, national NGOs and MIEs.

No information on its status, although the NEPA criticized its exclusion from COP28.",https://www.nepa.gov.af/service3,1.0,
Afghanistan-Does the national government (or other body) publish climate risk information covering all local government units?,Afghanistan,SAR,South Asia Region,Low income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Info not found,No published climate risk data for all local gov. units were found.,,0.0,
Afghanistan-Do fiscal risk statements identify climate change-related risks?,Afghanistan,SAR,South Asia Region,Low income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,The Taliban has developed a budget but documents have not been found.,,0.0,
Afghanistan-Is climate change reflected in the budget guidelines?,Afghanistan,SAR,South Asia Region,Low income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Info not found,The Taliban has created a budget but documents have not been found.,,0.0,
Afghanistan-Are climate-related expenditures identified in the budget and/or tracked?,Afghanistan,SAR,South Asia Region,Low income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,The Taliban has developed a budget for Afghanistan but documents have not been found. Relevant reports do not provide evidence that Afghanistan practices CBT.,https://www.undp.org/sites/g/files/zskgke326/files/2022-09/UNDP-Global-Climate-Public-Finance-Review-2022.pdf,0.0,
"Afghanistan-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Afghanistan,SAR,South Asia Region,Low income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,No evidence of climate change consideration in EIA. No other screening mechanism was found.,https://neis.nepa.gov.af/public/x06VqPJCsU,0.0,
"Afghanistan-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Afghanistan,SAR,South Asia Region,Low income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory TCFD requirements. No SOEs were found to disclose along the TCFD framework.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Afghanistan-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Afghanistan,SAR,South Asia Region,Low income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Neither were found at subnational level.,,0.0,
Afghanistan-Climate change framework law,Afghanistan,SAR,South Asia Region,Low income,Climate change framework law,Governance,CC law,No,,,0.0,
Afghanistan-National adaptation plan,Afghanistan,SAR,South Asia Region,Low income,National adaptation plan,Governance,NAP,No,,,0.0,
