Region,Country,Framework Law,Long-term Strategy  (LTS) or 2050+ CC Plan,National Adaptation Plan (NAP),Coordination Mechanism,Local-Level Risk Assessments,Fiscal Risk Statements,Budget Guidelines,CC in Budget,Project Screening,SOE TFCD Framework Compliance,"Subnational Government CC Plans and Strategies 
",Environmental Criteria in Procurement Tenders
SAR,Afghanistan,No,No,No,Yes,Info not found,Info not found,Info not found,No,No,No,No,No
ECA,Albania,Yes,No,Yes,Yes,Yes,Info not found,No,No,No,No,Partial,Partial
MNA,Algeria,No,No,No,Yes,Yes,Info not found,No,No,No,No,No,Partial
AFRE,Angola,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Partial
LAC,Antigua and Barbuda,No,No,No,Yes,Partial,Yes,Yes,No,No,No,No,Partial
MNA,Arab Republic of Egypt,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Partial
LAC,Argentina,Yes,Yes,Yes,Yes,Yes,Info not found,Yes,Yes,Yes,No,Partial,Partial
ECA,Armenia,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Partial,No
EAP,Australia,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,No,Yes,Yes,Yes
ECA,Austria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ECA,Azerbaijan,No,No,No,Yes,Partial,Yes,Yes,No,Info not found,Yes,No,No
MNA,Bahrain,No,No,No,Yes,No,Info not found,No,No,No,No,No,Yes
SAR,Bangladesh,No,No,Yes,Yes,Partial,Partial,Yes,Yes,No,No,Partial,Partial
ECA,Belarus,No,No,No,No,Yes,Info not found,Info not found,No,No,No,No,Partial
ECA,Belgium,Yes,Yes,Yes,Yes,Yes,Info not found,Yes,No,Yes,Yes,Yes,Yes
LAC,Belize,No,Yes,No,Yes,Yes,Info not found,Yes,No,No,No,No,Partial
AFRW,Benin,Yes,Yes,Yes,Yes,No,Partial,Yes,Partial,Yes,No,Yes,Partial
SAR,Bhutan,No,Yes,Yes,Yes,Yes,Yes,No,Partial,No,No,No,Partial
